Date (Calendar),Day,Month,Quarter,Y_Select Date,Year,Year(Date)
12/18/2018,Tue,Dec,Qtr 4,True,2018,2018
4/1/2019,Mon,Apr,Qtr 2,True,2019,2019
3/14/2019,Thu,Mar,Qtr 1,True,2019,2019
9/27/2019,Fri,Sep,Qtr 3,True,2019,2019
11/22/2019,Fri,Nov,Qtr 4,True,2019,2019
4/15/2019,Mon,Apr,Qtr 2,True,2019,2019
10/2/2019,Wed,Oct,Qtr 4,True,2019,2019
2/29/2020,Sat,Feb,Qtr 1,True,2020,2020
12/21/2019,Sat,Dec,Qtr 4,True,2019,2019
11/21/2020,Sat,Nov,Qtr 4,True,2020,2020
10/27/2019,Sun,Oct,Qtr 4,True,2019,2019
10/9/2019,Wed,Oct,Qtr 4,True,2019,2019
6/25/2020,Thu,Jun,Qtr 2,True,2020,2020
9/16/2019,Mon,Sep,Qtr 3,True,2019,2019
7/1/2019,Mon,Jul,Qtr 3,True,2019,2019
1/29/2020,Wed,Jan,Qtr 1,True,2020,2020
7/29/2020,Wed,Jul,Qtr 3,True,2020,2020
6/17/2019,Mon,Jun,Qtr 2,True,2019,2019
5/23/2019,Thu,May,Qtr 2,True,2019,2019
9/10/2018,Mon,Sep,Qtr 3,True,2018,2018
10/10/2020,Sat,Oct,Qtr 4,True,2020,2020
10/12/2019,Sat,Oct,Qtr 4,True,2019,2019
5/29/2019,Wed,May,Qtr 2,True,2019,2019
5/12/2019,Sun,May,Qtr 2,True,2019,2019
4/17/2018,Tue,Apr,Qtr 2,True,2018,2018
4/1/2020,Wed,Apr,Qtr 2,True,2020,2020
3/10/2020,Tue,Mar,Qtr 1,True,2020,2020
8/14/2018,Tue,Aug,Qtr 3,True,2018,2018
2/27/2020,Thu,Feb,Qtr 1,True,2020,2020
1/13/2019,Sun,Jan,Qtr 1,True,2019,2019
9/30/2020,Wed,Sep,Qtr 3,True,2020,2020
8/13/2020,Thu,Aug,Qtr 3,True,2020,2020
12/22/2019,Sun,Dec,Qtr 4,True,2019,2019
6/27/2020,Sat,Jun,Qtr 2,True,2020,2020
5/22/2020,Fri,May,Qtr 2,True,2020,2020
5/19/2018,Sat,May,Qtr 2,True,2018,2018
4/13/2018,Fri,Apr,Qtr 2,True,2018,2018
6/7/2020,Sun,Jun,Qtr 2,True,2020,2020
10/29/2019,Tue,Oct,Qtr 4,True,2019,2019
12/25/2019,Wed,Dec,Qtr 4,True,2019,2019
9/12/2019,Thu,Sep,Qtr 3,True,2019,2019
10/31/2018,Wed,Oct,Qtr 4,True,2018,2018
4/10/2020,Fri,Apr,Qtr 2,True,2020,2020
8/9/2018,Thu,Aug,Qtr 3,True,2018,2018
5/28/2019,Tue,May,Qtr 2,True,2019,2019
5/15/2019,Wed,May,Qtr 2,True,2019,2019
11/20/2018,Tue,Nov,Qtr 4,True,2018,2018
7/23/2018,Mon,Jul,Qtr 3,True,2018,2018
4/30/2020,Thu,Apr,Qtr 2,True,2020,2020
10/17/2019,Thu,Oct,Qtr 4,True,2019,2019
11/21/2019,Thu,Nov,Qtr 4,True,2019,2019
1/5/2019,Sat,Jan,Qtr 1,True,2019,2019
3/3/2020,Tue,Mar,Qtr 1,True,2020,2020
10/14/2020,Wed,Oct,Qtr 4,True,2020,2020
3/7/2020,Sat,Mar,Qtr 1,True,2020,2020
11/24/2018,Sat,Nov,Qtr 4,True,2018,2018
12/24/2020,Thu,Dec,Qtr 4,True,2020,2020
7/17/2019,Wed,Jul,Qtr 3,True,2019,2019
5/6/2018,Sun,May,Qtr 2,True,2018,2018
5/11/2018,Fri,May,Qtr 2,True,2018,2018
3/21/2020,Sat,Mar,Qtr 1,True,2020,2020
8/21/2018,Tue,Aug,Qtr 3,True,2018,2018
8/30/2019,Fri,Aug,Qtr 3,True,2019,2019
6/2/2019,Sun,Jun,Qtr 2,True,2019,2019
9/24/2020,Thu,Sep,Qtr 3,True,2020,2020
7/22/2019,Mon,Jul,Qtr 3,True,2019,2019
8/15/2018,Wed,Aug,Qtr 3,True,2018,2018
11/7/2020,Sat,Nov,Qtr 4,True,2020,2020
8/9/2019,Fri,Aug,Qtr 3,True,2019,2019
8/6/2018,Mon,Aug,Qtr 3,True,2018,2018
11/15/2018,Thu,Nov,Qtr 4,True,2018,2018
3/1/2019,Fri,Mar,Qtr 1,True,2019,2019
5/4/2019,Sat,May,Qtr 2,True,2019,2019
5/10/2020,Sun,May,Qtr 2,True,2020,2020
1/3/2020,Fri,Jan,Qtr 1,True,2020,2020
6/24/2019,Mon,Jun,Qtr 2,True,2019,2019
6/5/2018,Tue,Jun,Qtr 2,True,2018,2018
10/19/2019,Sat,Oct,Qtr 4,True,2019,2019
9/14/2018,Fri,Sep,Qtr 3,True,2018,2018
2/16/2020,Sun,Feb,Qtr 1,True,2020,2020
5/5/2019,Sun,May,Qtr 2,True,2019,2019
5/27/2018,Sun,May,Qtr 2,True,2018,2018
10/27/2018,Sat,Oct,Qtr 4,True,2018,2018
2/6/2019,Wed,Feb,Qtr 1,True,2019,2019
3/29/2020,Sun,Mar,Qtr 1,True,2020,2020
7/19/2020,Sun,Jul,Qtr 3,True,2020,2020
5/20/2019,Mon,May,Qtr 2,True,2019,2019
7/29/2019,Mon,Jul,Qtr 3,True,2019,2019
4/9/2019,Tue,Apr,Qtr 2,True,2019,2019
11/25/2019,Mon,Nov,Qtr 4,True,2019,2019
10/1/2020,Thu,Oct,Qtr 4,True,2020,2020
5/27/2020,Wed,May,Qtr 2,True,2020,2020
8/30/2020,Sun,Aug,Qtr 3,True,2020,2020
4/22/2020,Wed,Apr,Qtr 2,True,2020,2020
8/6/2020,Thu,Aug,Qtr 3,True,2020,2020
4/7/2020,Tue,Apr,Qtr 2,True,2020,2020
4/23/2019,Tue,Apr,Qtr 2,True,2019,2019
7/26/2019,Fri,Jul,Qtr 3,True,2019,2019
12/16/2020,Wed,Dec,Qtr 4,True,2020,2020
4/22/2019,Mon,Apr,Qtr 2,True,2019,2019
2/1/2019,Fri,Feb,Qtr 1,True,2019,2019
11/6/2020,Fri,Nov,Qtr 4,True,2020,2020
3/19/2020,Thu,Mar,Qtr 1,True,2020,2020
12/16/2018,Sun,Dec,Qtr 4,True,2018,2018
11/11/2020,Wed,Nov,Qtr 4,True,2020,2020
2/8/2019,Fri,Feb,Qtr 1,True,2019,2019
12/25/2018,Tue,Dec,Qtr 4,True,2018,2018
1/1/2019,Tue,Jan,Qtr 1,True,2019,2019
12/15/2019,Sun,Dec,Qtr 4,True,2019,2019
3/13/2020,Fri,Mar,Qtr 1,True,2020,2020
8/2/2020,Sun,Aug,Qtr 3,True,2020,2020
1/25/2019,Fri,Jan,Qtr 1,True,2019,2019
3/23/2019,Sat,Mar,Qtr 1,True,2019,2019
9/1/2019,Sun,Sep,Qtr 3,True,2019,2019
7/15/2018,Sun,Jul,Qtr 3,True,2018,2018
5/24/2020,Sun,May,Qtr 2,True,2020,2020
6/10/2020,Wed,Jun,Qtr 2,True,2020,2020
9/3/2020,Thu,Sep,Qtr 3,True,2020,2020
4/9/2018,Mon,Apr,Qtr 2,True,2018,2018
7/16/2019,Tue,Jul,Qtr 3,True,2019,2019
11/24/2019,Sun,Nov,Qtr 4,True,2019,2019
1/21/2020,Tue,Jan,Qtr 1,True,2020,2020
8/25/2018,Sat,Aug,Qtr 3,True,2018,2018
3/31/2019,Sun,Mar,Qtr 1,True,2019,2019
11/19/2020,Thu,Nov,Qtr 4,True,2020,2020
8/5/2020,Wed,Aug,Qtr 3,True,2020,2020
10/15/2019,Tue,Oct,Qtr 4,True,2019,2019
1/22/2019,Tue,Jan,Qtr 1,True,2019,2019
6/30/2020,Tue,Jun,Qtr 2,True,2020,2020
10/7/2019,Mon,Oct,Qtr 4,True,2019,2019
6/17/2018,Sun,Jun,Qtr 2,True,2018,2018
5/28/2020,Thu,May,Qtr 2,True,2020,2020
10/7/2018,Sun,Oct,Qtr 4,True,2018,2018
3/1/2020,Sun,Mar,Qtr 1,True,2020,2020
9/3/2018,Mon,Sep,Qtr 3,True,2018,2018
3/26/2020,Thu,Mar,Qtr 1,True,2020,2020
1/30/2020,Thu,Jan,Qtr 1,True,2020,2020
10/22/2018,Mon,Oct,Qtr 4,True,2018,2018
8/19/2020,Wed,Aug,Qtr 3,True,2020,2020
4/14/2020,Tue,Apr,Qtr 2,True,2020,2020
11/8/2019,Fri,Nov,Qtr 4,True,2019,2019
8/1/2019,Thu,Aug,Qtr 3,True,2019,2019
4/26/2018,Thu,Apr,Qtr 2,True,2018,2018
11/1/2018,Thu,Nov,Qtr 4,True,2018,2018
7/31/2019,Wed,Jul,Qtr 3,True,2019,2019
12/21/2020,Mon,Dec,Qtr 4,True,2020,2020
9/4/2018,Tue,Sep,Qtr 3,True,2018,2018
5/6/2019,Mon,May,Qtr 2,True,2019,2019
6/14/2019,Fri,Jun,Qtr 2,True,2019,2019
12/31/2018,Mon,Dec,Qtr 4,True,2018,2018
8/29/2018,Wed,Aug,Qtr 3,True,2018,2018
2/26/2020,Wed,Feb,Qtr 1,True,2020,2020
10/18/2020,Sun,Oct,Qtr 4,True,2020,2020
8/11/2019,Sun,Aug,Qtr 3,True,2019,2019
6/18/2020,Thu,Jun,Qtr 2,True,2020,2020
6/4/2019,Tue,Jun,Qtr 2,True,2019,2019
4/25/2020,Sat,Apr,Qtr 2,True,2020,2020
6/30/2018,Sat,Jun,Qtr 2,True,2018,2018
9/15/2020,Tue,Sep,Qtr 3,True,2020,2020
3/7/2019,Thu,Mar,Qtr 1,True,2019,2019
2/26/2019,Tue,Feb,Qtr 1,True,2019,2019
7/10/2018,Tue,Jul,Qtr 3,True,2018,2018
7/1/2018,Sun,Jul,Qtr 3,True,2018,2018
3/17/2020,Tue,Mar,Qtr 1,True,2020,2020
10/14/2019,Mon,Oct,Qtr 4,True,2019,2019
9/27/2020,Sun,Sep,Qtr 3,True,2020,2020
12/6/2019,Fri,Dec,Qtr 4,True,2019,2019
1/9/2019,Wed,Jan,Qtr 1,True,2019,2019
8/24/2020,Mon,Aug,Qtr 3,True,2020,2020
7/12/2018,Thu,Jul,Qtr 3,True,2018,2018
9/9/2020,Wed,Sep,Qtr 3,True,2020,2020
7/17/2018,Tue,Jul,Qtr 3,True,2018,2018
4/8/2018,Sun,Apr,Qtr 2,True,2018,2018
5/18/2018,Fri,May,Qtr 2,True,2018,2018
7/7/2018,Sat,Jul,Qtr 3,True,2018,2018
1/31/2019,Thu,Jan,Qtr 1,True,2019,2019
10/24/2019,Thu,Oct,Qtr 4,True,2019,2019
2/12/2020,Wed,Feb,Qtr 1,True,2020,2020
4/9/2020,Thu,Apr,Qtr 2,True,2020,2020
6/1/2019,Sat,Jun,Qtr 2,True,2019,2019
11/1/2019,Fri,Nov,Qtr 4,True,2019,2019
6/11/2019,Tue,Jun,Qtr 2,True,2019,2019
2/7/2020,Fri,Feb,Qtr 1,True,2020,2020
6/24/2018,Sun,Jun,Qtr 2,True,2018,2018
11/29/2020,Sun,Nov,Qtr 4,True,2020,2020
7/29/2018,Sun,Jul,Qtr 3,True,2018,2018
7/16/2018,Mon,Jul,Qtr 3,True,2018,2018
3/30/2019,Sat,Mar,Qtr 1,True,2019,2019
4/30/2019,Tue,Apr,Qtr 2,True,2019,2019
8/8/2020,Sat,Aug,Qtr 3,True,2020,2020
9/22/2018,Sat,Sep,Qtr 3,True,2018,2018
4/6/2019,Sat,Apr,Qtr 2,True,2019,2019
10/6/2020,Tue,Oct,Qtr 4,True,2020,2020
3/18/2019,Mon,Mar,Qtr 1,True,2019,2019
2/28/2019,Thu,Feb,Qtr 1,True,2019,2019
8/29/2019,Thu,Aug,Qtr 3,True,2019,2019
9/29/2018,Sat,Sep,Qtr 3,True,2018,2018
5/5/2020,Tue,May,Qtr 2,True,2020,2020
4/16/2020,Thu,Apr,Qtr 2,True,2020,2020
10/3/2020,Sat,Oct,Qtr 4,True,2020,2020
9/20/2019,Fri,Sep,Qtr 3,True,2019,2019
7/14/2018,Sat,Jul,Qtr 3,True,2018,2018
2/19/2020,Wed,Feb,Qtr 1,True,2020,2020
5/20/2018,Sun,May,Qtr 2,True,2018,2018
6/28/2018,Thu,Jun,Qtr 2,True,2018,2018
1/4/2020,Sat,Jan,Qtr 1,True,2020,2020
11/8/2018,Thu,Nov,Qtr 4,True,2018,2018
8/15/2019,Thu,Aug,Qtr 3,True,2019,2019
12/1/2020,Tue,Dec,Qtr 4,True,2020,2020
10/11/2020,Sun,Oct,Qtr 4,True,2020,2020
1/29/2019,Tue,Jan,Qtr 1,True,2019,2019
1/16/2019,Wed,Jan,Qtr 1,True,2019,2019
4/8/2019,Mon,Apr,Qtr 2,True,2019,2019
10/2/2018,Tue,Oct,Qtr 4,True,2018,2018
8/24/2019,Sat,Aug,Qtr 3,True,2019,2019
7/3/2019,Wed,Jul,Qtr 3,True,2019,2019
9/30/2019,Mon,Sep,Qtr 3,True,2019,2019
10/29/2018,Mon,Oct,Qtr 4,True,2018,2018
2/7/2019,Thu,Feb,Qtr 1,True,2019,2019
10/3/2019,Thu,Oct,Qtr 4,True,2019,2019
3/12/2019,Tue,Mar,Qtr 1,True,2019,2019
10/25/2020,Sun,Oct,Qtr 4,True,2020,2020
2/3/2019,Sun,Feb,Qtr 1,True,2019,2019
9/4/2020,Fri,Sep,Qtr 3,True,2020,2020
5/8/2020,Fri,May,Qtr 2,True,2020,2020
4/8/2020,Wed,Apr,Qtr 2,True,2020,2020
3/22/2020,Sun,Mar,Qtr 1,True,2020,2020
6/8/2019,Sat,Jun,Qtr 2,True,2019,2019
11/23/2020,Mon,Nov,Qtr 4,True,2020,2020
6/15/2019,Sat,Jun,Qtr 2,True,2019,2019
2/8/2020,Sat,Feb,Qtr 1,True,2020,2020
7/30/2019,Tue,Jul,Qtr 3,True,2019,2019
11/2/2020,Mon,Nov,Qtr 4,True,2020,2020
11/20/2020,Fri,Nov,Qtr 4,True,2020,2020
10/11/2018,Thu,Oct,Qtr 4,True,2018,2018
7/30/2018,Mon,Jul,Qtr 3,True,2018,2018
11/10/2020,Tue,Nov,Qtr 4,True,2020,2020
11/16/2019,Sat,Nov,Qtr 4,True,2019,2019
2/21/2019,Thu,Feb,Qtr 1,True,2019,2019
8/29/2020,Sat,Aug,Qtr 3,True,2020,2020
4/16/2019,Tue,Apr,Qtr 2,True,2019,2019
8/18/2018,Sat,Aug,Qtr 3,True,2018,2018
6/14/2020,Sun,Jun,Qtr 2,True,2020,2020
8/16/2020,Sun,Aug,Qtr 3,True,2020,2020
1/2/2019,Wed,Jan,Qtr 1,True,2019,2019
9/11/2019,Wed,Sep,Qtr 3,True,2019,2019
9/13/2019,Fri,Sep,Qtr 3,True,2019,2019
7/7/2019,Sun,Jul,Qtr 3,True,2019,2019
7/10/2019,Wed,Jul,Qtr 3,True,2019,2019
9/27/2018,Thu,Sep,Qtr 3,True,2018,2018
1/2/2020,Thu,Jan,Qtr 1,True,2020,2020
9/23/2018,Sun,Sep,Qtr 3,True,2018,2018
8/13/2019,Tue,Aug,Qtr 3,True,2019,2019
12/14/2020,Mon,Dec,Qtr 4,True,2020,2020
7/4/2020,Sat,Jul,Qtr 3,True,2020,2020
6/5/2019,Wed,Jun,Qtr 2,True,2019,2019
4/22/2018,Sun,Apr,Qtr 2,True,2018,2018
5/11/2020,Mon,May,Qtr 2,True,2020,2020
6/1/2020,Mon,Jun,Qtr 2,True,2020,2020
12/2/2018,Sun,Dec,Qtr 4,True,2018,2018
7/12/2019,Fri,Jul,Qtr 3,True,2019,2019
10/15/2018,Mon,Oct,Qtr 4,True,2018,2018
5/18/2020,Mon,May,Qtr 2,True,2020,2020
1/31/2020,Fri,Jan,Qtr 1,True,2020,2020
6/26/2018,Tue,Jun,Qtr 2,True,2018,2018
9/10/2019,Tue,Sep,Qtr 3,True,2019,2019
6/23/2020,Tue,Jun,Qtr 2,True,2020,2020
2/28/2020,Fri,Feb,Qtr 1,True,2020,2020
12/21/2018,Fri,Dec,Qtr 4,True,2018,2018
12/1/2018,Sat,Dec,Qtr 4,True,2018,2018
9/13/2018,Thu,Sep,Qtr 3,True,2018,2018
7/21/2020,Tue,Jul,Qtr 3,True,2020,2020
6/2/2018,Sat,Jun,Qtr 2,True,2018,2018
2/20/2020,Thu,Feb,Qtr 1,True,2020,2020
9/30/2018,Sun,Sep,Qtr 3,True,2018,2018
4/3/2020,Fri,Apr,Qtr 2,True,2020,2020
8/6/2019,Tue,Aug,Qtr 3,True,2019,2019
9/11/2018,Tue,Sep,Qtr 3,True,2018,2018
7/11/2020,Sat,Jul,Qtr 3,True,2020,2020
2/11/2020,Tue,Feb,Qtr 1,True,2020,2020
7/22/2020,Wed,Jul,Qtr 3,True,2020,2020
9/20/2018,Thu,Sep,Qtr 3,True,2018,2018
8/27/2018,Mon,Aug,Qtr 3,True,2018,2018
10/12/2020,Mon,Oct,Qtr 4,True,2020,2020
8/1/2018,Wed,Aug,Qtr 3,True,2018,2018
11/9/2018,Fri,Nov,Qtr 4,True,2018,2018
4/21/2019,Sun,Apr,Qtr 2,True,2019,2019
7/30/2020,Thu,Jul,Qtr 3,True,2020,2020
9/28/2019,Sat,Sep,Qtr 3,True,2019,2019
11/28/2018,Wed,Nov,Qtr 4,True,2018,2018
1/26/2020,Sun,Jan,Qtr 1,True,2020,2020
7/15/2019,Mon,Jul,Qtr 3,True,2019,2019
12/17/2019,Tue,Dec,Qtr 4,True,2019,2019
7/31/2020,Fri,Jul,Qtr 3,True,2020,2020
8/12/2019,Mon,Aug,Qtr 3,True,2019,2019
12/11/2019,Wed,Dec,Qtr 4,True,2019,2019
12/20/2020,Sun,Dec,Qtr 4,True,2020,2020
5/31/2018,Thu,May,Qtr 2,True,2018,2018
11/30/2019,Sat,Nov,Qtr 4,True,2019,2019
7/5/2018,Thu,Jul,Qtr 3,True,2018,2018
11/2/2018,Fri,Nov,Qtr 4,True,2018,2018
5/4/2018,Fri,May,Qtr 2,True,2018,2018
5/16/2019,Thu,May,Qtr 2,True,2019,2019
2/24/2019,Sun,Feb,Qtr 1,True,2019,2019
3/12/2020,Thu,Mar,Qtr 1,True,2020,2020
9/4/2019,Wed,Sep,Qtr 3,True,2019,2019
3/10/2019,Sun,Mar,Qtr 1,True,2019,2019
8/3/2020,Mon,Aug,Qtr 3,True,2020,2020
6/10/2019,Mon,Jun,Qtr 2,True,2019,2019
10/30/2019,Wed,Oct,Qtr 4,True,2019,2019
9/25/2018,Tue,Sep,Qtr 3,True,2018,2018
2/12/2019,Tue,Feb,Qtr 1,True,2019,2019
6/19/2018,Tue,Jun,Qtr 2,True,2018,2018
1/5/2020,Sun,Jan,Qtr 1,True,2020,2020
7/26/2018,Thu,Jul,Qtr 3,True,2018,2018
1/1/2020,Wed,Jan,Qtr 1,True,2020,2020
10/8/2020,Thu,Oct,Qtr 4,True,2020,2020
11/19/2019,Tue,Nov,Qtr 4,True,2019,2019
10/13/2020,Tue,Oct,Qtr 4,True,2020,2020
9/19/2018,Wed,Sep,Qtr 3,True,2018,2018
3/5/2019,Tue,Mar,Qtr 1,True,2019,2019
8/28/2020,Fri,Aug,Qtr 3,True,2020,2020
6/19/2019,Wed,Jun,Qtr 2,True,2019,2019
10/14/2018,Sun,Oct,Qtr 4,True,2018,2018
11/20/2019,Wed,Nov,Qtr 4,True,2019,2019
1/9/2020,Thu,Jan,Qtr 1,True,2020,2020
9/13/2020,Sun,Sep,Qtr 3,True,2020,2020
4/4/2020,Sat,Apr,Qtr 2,True,2020,2020
8/3/2019,Sat,Aug,Qtr 3,True,2019,2019
4/16/2018,Mon,Apr,Qtr 2,True,2018,2018
8/8/2018,Wed,Aug,Qtr 3,True,2018,2018
11/15/2019,Fri,Nov,Qtr 4,True,2019,2019
2/3/2020,Mon,Feb,Qtr 1,True,2020,2020
7/2/2020,Thu,Jul,Qtr 3,True,2020,2020
11/5/2019,Tue,Nov,Qtr 4,True,2019,2019
10/4/2018,Thu,Oct,Qtr 4,True,2018,2018
1/14/2020,Tue,Jan,Qtr 1,True,2020,2020
3/11/2020,Wed,Mar,Qtr 1,True,2020,2020
8/12/2020,Wed,Aug,Qtr 3,True,2020,2020
5/4/2020,Mon,May,Qtr 2,True,2020,2020
7/2/2019,Tue,Jul,Qtr 3,True,2019,2019
5/11/2019,Sat,May,Qtr 2,True,2019,2019
8/12/2018,Sun,Aug,Qtr 3,True,2018,2018
3/2/2019,Sat,Mar,Qtr 1,True,2019,2019
5/19/2020,Tue,May,Qtr 2,True,2020,2020
8/14/2020,Fri,Aug,Qtr 3,True,2020,2020
1/15/2019,Tue,Jan,Qtr 1,True,2019,2019
11/1/2020,Sun,Nov,Qtr 4,True,2020,2020
12/7/2018,Fri,Dec,Qtr 4,True,2018,2018
4/3/2019,Wed,Apr,Qtr 2,True,2019,2019
9/23/2019,Mon,Sep,Qtr 3,True,2019,2019
8/24/2018,Fri,Aug,Qtr 3,True,2018,2018
6/14/2018,Thu,Jun,Qtr 2,True,2018,2018
4/11/2019,Thu,Apr,Qtr 2,True,2019,2019
11/12/2020,Thu,Nov,Qtr 4,True,2020,2020
8/17/2018,Fri,Aug,Qtr 3,True,2018,2018
4/5/2018,Thu,Apr,Qtr 2,True,2018,2018
10/4/2020,Sun,Oct,Qtr 4,True,2020,2020
12/28/2018,Fri,Dec,Qtr 4,True,2018,2018
5/30/2020,Sat,May,Qtr 2,True,2020,2020
2/19/2019,Tue,Feb,Qtr 1,True,2019,2019
7/6/2020,Mon,Jul,Qtr 3,True,2020,2020
3/16/2020,Mon,Mar,Qtr 1,True,2020,2020
9/2/2020,Wed,Sep,Qtr 3,True,2020,2020
11/28/2019,Thu,Nov,Qtr 4,True,2019,2019
5/26/2020,Tue,May,Qtr 2,True,2020,2020
9/7/2020,Mon,Sep,Qtr 3,True,2020,2020
11/7/2019,Thu,Nov,Qtr 4,True,2019,2019
10/5/2019,Sat,Oct,Qtr 4,True,2019,2019
6/4/2018,Mon,Jun,Qtr 2,True,2018,2018
8/7/2018,Tue,Aug,Qtr 3,True,2018,2018
11/18/2020,Wed,Nov,Qtr 4,True,2020,2020
12/10/2019,Tue,Dec,Qtr 4,True,2019,2019
7/17/2020,Fri,Jul,Qtr 3,True,2020,2020
5/16/2018,Wed,May,Qtr 2,True,2018,2018
10/13/2018,Sat,Oct,Qtr 4,True,2018,2018
12/6/2020,Sun,Dec,Qtr 4,True,2020,2020
9/28/2018,Fri,Sep,Qtr 3,True,2018,2018
7/20/2019,Sat,Jul,Qtr 3,True,2019,2019
7/13/2020,Mon,Jul,Qtr 3,True,2020,2020
5/31/2019,Fri,May,Qtr 2,True,2019,2019
5/12/2018,Sat,May,Qtr 2,True,2018,2018
12/30/2020,Wed,Dec,Qtr 4,True,2020,2020
4/29/2019,Mon,Apr,Qtr 2,True,2019,2019
12/3/2018,Mon,Dec,Qtr 4,True,2018,2018
4/25/2019,Thu,Apr,Qtr 2,True,2019,2019
3/20/2020,Fri,Mar,Qtr 1,True,2020,2020
4/21/2018,Sat,Apr,Qtr 2,True,2018,2018
4/5/2019,Fri,Apr,Qtr 2,True,2019,2019
4/15/2018,Sun,Apr,Qtr 2,True,2018,2018
6/22/2018,Fri,Jun,Qtr 2,True,2018,2018
11/24/2020,Tue,Nov,Qtr 4,True,2020,2020
5/31/2020,Sun,May,Qtr 2,True,2020,2020
9/10/2020,Thu,Sep,Qtr 3,True,2020,2020
11/2/2019,Sat,Nov,Qtr 4,True,2019,2019
12/10/2018,Mon,Dec,Qtr 4,True,2018,2018
1/13/2020,Mon,Jan,Qtr 1,True,2020,2020
8/3/2018,Fri,Aug,Qtr 3,True,2018,2018
2/16/2019,Sat,Feb,Qtr 1,True,2019,2019
11/5/2018,Mon,Nov,Qtr 4,True,2018,2018
7/28/2020,Tue,Jul,Qtr 3,True,2020,2020
2/25/2019,Mon,Feb,Qtr 1,True,2019,2019
8/7/2019,Wed,Aug,Qtr 3,True,2019,2019
10/21/2020,Wed,Oct,Qtr 4,True,2020,2020
2/18/2019,Mon,Feb,Qtr 1,True,2019,2019
3/8/2020,Sun,Mar,Qtr 1,True,2020,2020
12/17/2020,Thu,Dec,Qtr 4,True,2020,2020
12/15/2020,Tue,Dec,Qtr 4,True,2020,2020
11/23/2019,Sat,Nov,Qtr 4,True,2019,2019
3/22/2019,Fri,Mar,Qtr 1,True,2019,2019
8/14/2019,Wed,Aug,Qtr 3,True,2019,2019
1/19/2019,Sat,Jan,Qtr 1,True,2019,2019
6/9/2020,Tue,Jun,Qtr 2,True,2020,2020
3/14/2020,Sat,Mar,Qtr 1,True,2020,2020
